name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Audubon, Camden",/database/pd-dept/audubon-camden,N/A,Not found,N/A,Not found,0,2,2,16,This department uses force at lower rate than 457 police departments,Audubon,Camden County,Patrol area: Audubon,http://force.nj.com/database/pd-dept/audubon-camden
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,N/A,Not found,N/A,Not found,0,4,4,21,This department uses force at lower rate than 454 police departments,Avalon,Cape May County,Patrol area: Avalon,http://force.nj.com/database/pd-dept/avalon-cape-may
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,N/A,Not found,N/A,Not found,0,7,7,11,This department uses force at lower rate than 371 police departments,Avon-By-the-Sea,Monmouth County,Patrol area: Avon-By-the-Sea,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,216%,more likely,9%,more likely,0,20,23,46,This department uses force at higher rate than 319 police departments,Barnegat,Ocean County,Patrol area: Barnegat,http://force.nj.com/database/pd-dept/barnegat-ocean
"Barrington, Camden",/database/pd-dept/barrington-camden,1147%,more likely,4%,more likely,0,11,11,14,This department uses force at higher rate than 442 police departments,Barrington,Camden County,Patrol area: Barrington,http://force.nj.com/database/pd-dept/barrington-camden
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,N/A,Not found,N/A,Not found,0,1,1,8,This department uses force at lower rate than 350 police departments,Bay Head,Ocean County,Patrol area: Bay Head,http://force.nj.com/database/pd-dept/bay-head-ocean
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,108%,more likely,3%,more likely,11,88,92,186,This department uses force at higher rate than 457 police departments,Bayonne,Hudson County,Patrol area: Bayonne,http://force.nj.com/database/pd-dept/bayonne-hudson
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,78%,more likely,286%,more likely,0,7,8,11,This department uses force at higher rate than 346 police departments,Beach Haven,Ocean County,Patrol area: Beach Haven,http://force.nj.com/database/pd-dept/beach-haven-ocean
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,717%,more likely,63%,more likely,0,14,15,18,This department uses force at higher rate than 456 police departments,Beachwood,Ocean County,Patrol area: Beachwood,http://force.nj.com/database/pd-dept/beachwood-ocean
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,N/A,Not found,353%,more likely,0,1,2,15,This department uses force at lower rate than 413 police departments,Bedminster,Somerset County,Patrol area: Bedminster,http://force.nj.com/database/pd-dept/bedminster-somerset
"Belleville, Essex",/database/pd-dept/belleville-essex,76%,more likely,89%,more likely,12,64,66,107,This department uses force at higher rate than 452 police departments,Belleville,Essex County,Patrol area: Belleville,http://force.nj.com/database/pd-dept/belleville-essex
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,231%,more likely,47%,less likely,0,7,13,21,This department uses force at lower rate than 338 police departments,Bellmawr,Camden County,Patrol area: Bellmawr,http://force.nj.com/database/pd-dept/bellmawr-camden
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,218%,more likely,28%,less likely,2,31,32,20,This department uses force at higher rate than 433 police departments,Belmar,Monmouth County,Patrol area: Belmar,http://force.nj.com/database/pd-dept/belmar-monmouth
"Belvidere, Warren",/database/pd-dept/belvidere-warren,N/A,Not found,N/A,Not found,0,1,1,6,This department uses force at lower rate than 366 police departments,Belvidere,Warren County,Patrol area: Belvidere,http://force.nj.com/database/pd-dept/belvidere-warren
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,40%,more likely,17%,less likely,0,13,14,45,This department uses force at higher rate than 403 police departments,Bergenfield,Bergen County,Patrol area: Bergenfield,http://force.nj.com/database/pd-dept/bergenfield-bergen
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,N/A,Not found,N/A,Not found,0,1,1,24,This department uses force at lower rate than 385 police departments,Berkeley Heights,Union County,Patrol area: Berkeley Heights,http://force.nj.com/database/pd-dept/berkeley-heights-union
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,41%,less likely,76%,less likely,1,23,24,68,This department uses force at higher rate than 408 police departments,Berkeley,Ocean County,Patrol area: Berkeley,http://force.nj.com/database/pd-dept/berkeley-ocean
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,529%,more likely,14%,more likely,1,10,11,16,This department uses force at lower rate than 246 police departments,Berlin Borough,Camden County,Patrol area: Berlin Borough,http://force.nj.com/database/pd-dept/berlin-borough-camden
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,36%,less likely,31%,less likely,0,6,6,17,This department uses force at lower rate than 367 police departments,Berlin Township,Camden County,Patrol area: Berlin Township,http://force.nj.com/database/pd-dept/berlin-township-camden
"Bernards, Somerset",/database/pd-dept/bernards-somerset,779%,more likely,10%,more likely,0,14,16,38,This department uses force at higher rate than 297 police departments,Bernards,Somerset County,Patrol area: Bernards,http://force.nj.com/database/pd-dept/bernards-somerset
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,N/A,Not found,N/A,Not found,0,4,4,18,This department uses force at higher rate than 254 police departments,Bernardsville,Somerset County,Patrol area: Bernardsville,http://force.nj.com/database/pd-dept/bernardsville-somerset
"Beverly, Burlington",/database/pd-dept/beverly-burlington,924%,more likely,53%,more likely,2,11,12,6,This department uses force at higher rate than 445 police departments,Beverly,Burlington County,Patrol area: Beverly,http://force.nj.com/database/pd-dept/beverly-burlington
"Blairstown, Warren",/database/pd-dept/blairstown-warren,N/A,Not found,N/A,Not found,0,2,2,5,This department uses force at lower rate than 414 police departments,Blairstown,Warren County,Patrol area: Blairstown,http://force.nj.com/database/pd-dept/blairstown-warren
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,252%,more likely,83%,more likely,15,60,63,124,This department uses force at higher rate than 397 police departments,Bloomfield,Essex County,Patrol area: Bloomfield,http://force.nj.com/database/pd-dept/bloomfield-essex
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,642%,more likely,79%,more likely,0,8,9,16,This department uses force at higher rate than 301 police departments,Bloomingdale,Passaic County,Patrol area: Bloomingdale,http://force.nj.com/database/pd-dept/bloomingdale-passaic
"Bogota, Bergen",/database/pd-dept/bogota-bergen,68%,more likely,52%,more likely,0,8,9,16,This department uses force at higher rate than 425 police departments,Bogota,Bergen County,Patrol area: Bogota,http://force.nj.com/database/pd-dept/bogota-bergen
"Boonton, Morris",/database/pd-dept/boonton-morris,747%,more likely,88%,more likely,0,10,10,20,This department uses force at higher rate than 305 police departments,Boonton,Morris County,Patrol area: Boonton,http://force.nj.com/database/pd-dept/boonton-morris
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,N/A,Not found,N/A,Not found,0,3,3,12,This department uses force at lower rate than 396 police departments,Boonton Township,Morris County,Patrol area: Boonton Township,http://force.nj.com/database/pd-dept/boonton-township-morris
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,367%,more likely,5%,more likely,2,18,20,23,This department uses force at higher rate than 235 police departments,Bordentown Township,Burlington County,Patrol area: Bordentown Township,http://force.nj.com/database/pd-dept/bordentown-township-burlington
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,254%,more likely,35%,more likely,0,6,6,12,This department uses force at higher rate than 316 police departments,Bordentown,Burlington County,Patrol area: Bordentown City,http://force.nj.com/database/pd-dept/bordentown-burlington
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,527%,more likely,36%,more likely,3,16,16,24,This department uses force at higher rate than 366 police departments,Bound Brook,Somerset County,Patrol area: Bound Brook,http://force.nj.com/database/pd-dept/bound-brook-somerset
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,925%,more likely,54%,more likely,1,12,14,17,This department uses force at higher rate than 372 police departments,Bradley Beach,Monmouth County,Patrol area: Bradley Beach,http://force.nj.com/database/pd-dept/bradley-beach-monmouth
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,150%,more likely,37%,more likely,0,8,9,26,This department uses force at higher rate than 241 police departments,Branchburg,Somerset County,Patrol area: Branchburg,http://force.nj.com/database/pd-dept/branchburg-somerset
"Brick, Ocean",/database/pd-dept/brick-ocean,457%,more likely,39%,more likely,3,64,67,132,This department uses force at higher rate than 283 police departments,Brick,Ocean County,Patrol area: Brick,http://force.nj.com/database/pd-dept/brick-ocean
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,1%,less likely,39%,more likely,19,41,56,62,This department uses force at higher rate than 314 police departments,Bridgeton City,Cumberland County,Patrol area: Bridgeton City,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,994%,more likely,15%,more likely,0,36,37,73,This department uses force at higher rate than 342 police departments,Bridgewater,Somerset County,Patrol area: Bridgewater,http://force.nj.com/database/pd-dept/bridgewater-somerset
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,N/A,Not found,681%,more likely,0,2,2,14,This department uses force at lower rate than 370 police departments,Brielle,Monmouth County,Patrol area: Brielle,http://force.nj.com/database/pd-dept/brielle-monmouth
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,974%,more likely,50%,more likely,0,13,13,34,This department uses force at higher rate than 294 police departments,Brigantine Beach,Atlantic County,Patrol area: Brigantine Beach,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,427%,more likely,4%,more likely,2,9,10,6,This department uses force at higher rate than 245 police departments,Brooklawn,Camden County,Patrol area: Brooklawn,http://force.nj.com/database/pd-dept/brooklawn-camden
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,838%,more likely,145%,more likely,1,3,7,9,This department uses force at higher rate than 363 police departments,Buena Borough,Atlantic County,Patrol area: Buena Borough,http://force.nj.com/database/pd-dept/buena-borough-atlantic
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,497%,more likely,27%,more likely,2,29,30,32,This department uses force at lower rate than 250 police departments,Burlington City,Burlington County,Patrol area: Burlington City,http://force.nj.com/database/pd-dept/burlington-city-burlington
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,215%,more likely,10%,more likely,0,26,26,42,This department uses force at lower rate than 444 police departments,Burlington Town,Burlington County,Patrol area: Burlington Township,http://force.nj.com/database/pd-dept/burlington-town-burlington
"Butler, Morris",/database/pd-dept/butler-morris,N/A,Not found,43%,more likely,0,6,6,16,This department uses force at lower rate than 319 police departments,Butler,Morris County,Patrol area: Butler,http://force.nj.com/database/pd-dept/butler-morris
"Byram, Sussex",/database/pd-dept/byram-sussex,3922%,more likely,7%,more likely,1,5,6,14,This department uses force at higher rate than 320 police departments,Byram,Sussex County,Patrol area: Byram,http://force.nj.com/database/pd-dept/byram-sussex
"Caldwell, Essex",/database/pd-dept/caldwell-essex,101%,more likely,17%,less likely,0,15,15,22,This department uses force at higher rate than 389 police departments,Caldwell,Essex County,Patrol area: Caldwell,http://force.nj.com/database/pd-dept/caldwell-essex
"Camden, Camden",/database/pd-dept/camden-camden,8%,more likely,447%,more likely,132,307,325,341,This department uses force at higher rate than 374 police departments,Camden,Camden County,Patrol area: Camden,http://force.nj.com/database/pd-dept/camden-camden
"Cape May &amp; Cape May Point &amp; West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,373%,more likely,75%,more likely,1,15,16,22,This department uses force at higher rate than 409 police departments,Cape May,Cape May County,Patrol area: Cape May &amp; Cape May Point &amp; West Cape May,http://force.nj.com/database/pd-dept/cape-may-cape-may
"Carlstadt, Bergen",/database/pd-dept/carlstadt-bergen,N/A,Not found,36%,more likely,0,4,5,26,This department uses force at higher rate than 417 police departments,Carlstadt,Bergen County,Patrol area: Carlstadt,http://force.nj.com/database/pd-dept/carlstadt-bergen
"Carney's Point, Salem",/database/pd-dept/carney-s-point-salem,238%,more likely,45%,more likely,1,13,14,17,This department uses force at lower rate than 337 police departments,Carney's Point,Salem County,Patrol area: Carney's Point,http://force.nj.com/database/pd-dept/carney-s-point-salem
"Carteret, Middlesex",/database/pd-dept/carteret-middlesex,103%,more likely,38%,more likely,5,34,36,55,This department uses force at higher rate than 361 police departments,Carteret,Middlesex County,Patrol area: Carteret,http://force.nj.com/database/pd-dept/carteret-middlesex
"Cedar Grove, Essex",/database/pd-dept/cedar-grove-essex,359%,more likely,14%,more likely,0,7,8,28,This department uses force at higher rate than 368 police departments,Cedar Grove,Essex County,Patrol area: Cedar Grove,http://force.nj.com/database/pd-dept/cedar-grove-essex
"Chatham Borough, Morris",/database/pd-dept/chatham-borough-morris,502%,more likely,78%,less likely,0,6,6,18,This department uses force at higher rate than 345 police departments,Chatham Borough,Morris County,Patrol area: Chatham Borough,http://force.nj.com/database/pd-dept/chatham-borough-morris
"Chatham Township, Morris",/database/pd-dept/chatham-township-morris,N/A,Not found,N/A,Not found,0,0,0,20,This department uses force at lower rate than 432 police departments,Chatham Township,Morris County,Patrol area: Chatham Township,http://force.nj.com/database/pd-dept/chatham-township-morris
"Cherry Hill, Camden",/database/pd-dept/cherry-hill-camden,464%,more likely,21%,more likely,3,79,80,134,This department uses force at lower rate than 357 police departments,Cherry Hill,Camden County,Patrol area: Cherry Hill,http://force.nj.com/database/pd-dept/cherry-hill-camden
"Chesilhurst, Camden",/database/pd-dept/chesilhurst-camden,N/A,Not found,N/A,Not found,0,2,2,8,This department uses force at lower rate than 328 police departments,Chesilhurst,Camden County,Patrol area: Chesilhurst,http://force.nj.com/database/pd-dept/chesilhurst-camden
"Chester Township &amp; Chester Borough, Morris",/database/pd-dept/chester-township-morris,N/A,Not found,N/A,Not found,0,4,5,23,This department uses force at lower rate than 416 police departments,Chester Township,Morris County,Patrol area: Chester Township &amp; Chester Borough,http://force.nj.com/database/pd-dept/chester-township-morris
"Chesterfield, Burlington",/database/pd-dept/chesterfield-burlington,N/A,Not found,N/A,Not found,0,2,2,10,This department uses force at lower rate than 422 police departments,Chesterfield,Burlington County,Patrol area: Chesterfield,http://force.nj.com/database/pd-dept/chesterfield-burlington
"Cinnaminson, Burlington",/database/pd-dept/cinnaminson-burlington,568%,more likely,45%,less likely,1,15,15,24,This department uses force at lower rate than 346 police departments,Cinnaminson,Burlington County,Patrol area: Cinnaminson,http://force.nj.com/database/pd-dept/cinnaminson-burlington
"Clark, Union",/database/pd-dept/clark-union,2046%,more likely,23%,less likely,1,20,21,40,This department uses force at higher rate than 390 police departments,Clark,Union County,Patrol area: Clark,http://force.nj.com/database/pd-dept/clark-union
"Clayton, Gloucester",/database/pd-dept/clayton-gloucester,176%,more likely,12%,less likely,0,5,8,16,This department uses force at higher rate than 393 police departments,Clayton,Gloucester County,Patrol area: Clayton,http://force.nj.com/database/pd-dept/clayton-gloucester
"Clementon, Camden",/database/pd-dept/clementon-camden,148%,more likely,106%,more likely,0,3,4,12,This department uses force at higher rate than 392 police departments,Clementon,Camden County,Patrol area: Clementon,http://force.nj.com/database/pd-dept/clementon-camden
"Cliffside Park, Bergen",/database/pd-dept/cliffside-park-bergen,50%,less likely,49%,less likely,1,26,28,46,This department uses force at higher rate than 377 police departments,Cliffside Park,Bergen County,Patrol area: Cliffside Park,http://force.nj.com/database/pd-dept/cliffside-park-bergen
"Clifton, Passaic",/database/pd-dept/clifton-passaic,118%,more likely,29%,more likely,10,74,76,144,This department uses force at higher rate than 262 police departments,Clifton,Passaic County,Patrol area: Clifton,http://force.nj.com/database/pd-dept/clifton-passaic
"Clinton Township, Hunterdon",/database/pd-dept/clinton-township-hunterdon,52%,less likely,63%,less likely,0,10,10,22,This department uses force at lower rate than 326 police departments,Clinton Township,Hunterdon County,Patrol area: Clinton Township,http://force.nj.com/database/pd-dept/clinton-township-hunterdon
"Closter, Bergen",/database/pd-dept/closter-bergen,N/A,Not found,12%,more likely,0,4,4,18,This department uses force at lower rate than 405 police departments,Closter,Bergen County,Patrol area: Closter,http://force.nj.com/database/pd-dept/closter-bergen
"Collingswood, Camden",/database/pd-dept/collingswood-camden,257%,more likely,16%,less likely,0,9,9,22,This department uses force at lower rate than 260 police departments,Collingswood,Camden County,Patrol area: Collingswood,http://force.nj.com/database/pd-dept/collingswood-camden
"Colts Neck, Monmouth",/database/pd-dept/colts-neck-monmouth,N/A,Not found,N/A,Not found,0,2,2,20,This department uses force at lower rate than 293 police departments,Colts Neck,Monmouth County,Patrol area: Colts Neck,http://force.nj.com/database/pd-dept/colts-neck-monmouth
"Cranbury, Middlesex",/database/pd-dept/cranbury-middlesex,N/A,Not found,15%,more likely,0,7,7,16,This department uses force at higher rate than 437 police departments,Cranbury,Middlesex County,Patrol area: Cranbury,http://force.nj.com/database/pd-dept/cranbury-middlesex
"Cranford, Union",/database/pd-dept/cranford-union,1421%,more likely,14%,less likely,0,20,21,50,This department uses force at higher rate than 327 police departments,Cranford,Union County,Patrol area: Cranford,http://force.nj.com/database/pd-dept/cranford-union
"Cresskill, Bergen",/database/pd-dept/cresskill-bergen,2255%,more likely,123%,more likely,0,7,7,22,This department uses force at higher rate than 447 police departments,Cresskill,Bergen County,Patrol area: Cresskill,http://force.nj.com/database/pd-dept/cresskill-bergen
"Deal, Interlaken &amp; Loch Arbour Village, Monmouth",/database/pd-dept/deal-monmouth,3199%,more likely,33%,more likely,0,7,7,18,This department uses force at lower rate than 311 police departments,Deal,Monmouth County,"Patrol area: Deal, Interlaken &amp; Loch Arbour Village",http://force.nj.com/database/pd-dept/deal-monmouth
"Delanco, Burlington",/database/pd-dept/delanco-burlington,312%,more likely,34%,more likely,0,6,7,10,This department uses force at higher rate than 247 police departments,Delanco,Burlington County,Patrol area: Delanco,http://force.nj.com/database/pd-dept/delanco-burlington
"Delaware, Hunterdon",/database/pd-dept/delaware-hunterdon,N/A,Not found,N/A,Not found,0,2,2,7,This department uses force at higher rate than 341 police departments,Delaware,Hunterdon County,Patrol area: Delaware,http://force.nj.com/database/pd-dept/delaware-hunterdon
"Delran, Burlington",/database/pd-dept/delran-burlington,276%,more likely,25%,less likely,0,15,16,30,This department uses force at lower rate than 378 police departments,Delran,Burlington County,Patrol area: Delran,http://force.nj.com/database/pd-dept/delran-burlington
"Demarest, Bergen",/database/pd-dept/demarest-bergen,N/A,Not found,N/A,Not found,0,1,1,12,This department uses force at lower rate than 388 police departments,Demarest,Bergen County,Patrol area: Demarest,http://force.nj.com/database/pd-dept/demarest-bergen
"Denville, Morris",/database/pd-dept/denville-morris,237%,more likely,40%,less likely,0,8,8,31,This department uses force at lower rate than 343 police departments,Denville,Morris County,Patrol area: Denville,http://force.nj.com/database/pd-dept/denville-morris
"Deptford, Gloucester",/database/pd-dept/deptford-gloucester,181%,more likely,8%,less likely,6,28,35,63,This department uses force at lower rate than 283 police departments,Deptford,Gloucester County,Patrol area: Deptford,http://force.nj.com/database/pd-dept/deptford-gloucester
"Dover, Morris",/database/pd-dept/dover-morris,33%,less likely,1%,less likely,6,19,22,30,This department uses force at higher rate than 418 police departments,Dover,Morris County,Patrol area: Dover,http://force.nj.com/database/pd-dept/dover-morris
"Dumont, Bergen",/database/pd-dept/dumont-bergen,74%,more likely,28%,more likely,0,8,8,32,This department uses force at higher rate than 423 police departments,Dumont,Bergen County,Patrol area: Dumont,http://force.nj.com/database/pd-dept/dumont-bergen
"Dunellen, Middlesex",/database/pd-dept/dunellen-middlesex,10%,more likely,31%,less likely,3,15,15,16,This department uses force at higher rate than 387 police departments,Dunellen,Middlesex County,Patrol area: Dunellen,http://force.nj.com/database/pd-dept/dunellen-middlesex
"East Brunswick, Middlesex",/database/pd-dept/east-brunswick-middlesex,308%,more likely,3%,more likely,2,45,45,83,This department uses force at higher rate than 234 police departments,East Brunswick,Middlesex County,Patrol area: East Brunswick,http://force.nj.com/database/pd-dept/east-brunswick-middlesex
"East Greenwich, Gloucester",/database/pd-dept/east-greenwich-gloucester,340%,more likely,39%,more likely,0,5,6,18,This department uses force at lower rate than 282 police departments,East Greenwich,Gloucester County,Patrol area: East Greenwich,http://force.nj.com/database/pd-dept/east-greenwich-gloucester
"East Hanover, Morris",/database/pd-dept/east-hanover-morris,N/A,Not found,54%,less likely,0,4,5,33,This department uses force at lower rate than 398 police departments,East Hanover,Morris County,Patrol area: East Hanover,http://force.nj.com/database/pd-dept/east-hanover-morris
"East Newark, Hudson",/database/pd-dept/east-newark-hudson,N/A,Not found,N/A,Not found,0,1,2,8,This department uses force at lower rate than 395 police departments,East Newark,Hudson County,Patrol area: East Newark,http://force.nj.com/database/pd-dept/east-newark-hudson
"East Orange, Essex",/database/pd-dept/east-orange-essex,238%,more likely,454%,more likely,13,113,114,213,This department uses force at lower rate than 279 police departments,East Orange,Essex County,Patrol area: East Orange,http://force.nj.com/database/pd-dept/east-orange-essex
"East Rutherford, Bergen",/database/pd-dept/east-rutherford-bergen,113%,more likely,39%,more likely,0,9,9,38,This department uses force at lower rate than 304 police departments,East Rutherford,Bergen County,Patrol area: East Rutherford,http://force.nj.com/database/pd-dept/east-rutherford-bergen
"East Windsor, Mercer",/database/pd-dept/east-windsor-mercer,125%,more likely,46%,more likely,2,17,18,44,This department uses force at higher rate than 265 police departments,East Windsor,Mercer County,Patrol area: East Windsor,http://force.nj.com/database/pd-dept/east-windsor-mercer
"Eastampton, Burlington",/database/pd-dept/eastampton-burlington,N/A,Not found,N/A,Not found,0,4,4,14,This department uses force at lower rate than 456 police departments,Eastampton,Burlington County,Patrol area: Eastampton,http://force.nj.com/database/pd-dept/eastampton-burlington
"Eatontown, Monmouth",/database/pd-dept/eatontown-monmouth,482%,more likely,2%,less likely,4,18,21,36,This department uses force at higher rate than 239 police departments,Eatontown,Monmouth County,Patrol area: Eatontown,http://force.nj.com/database/pd-dept/eatontown-monmouth
"Edgewater Park, Burlington",/database/pd-dept/edgewater-park-burlington,107%,more likely,3%,less likely,0,11,11,12,This department uses force at higher rate than 303 police departments,Edgewater Park,Burlington County,Patrol area: Edgewater Park,http://force.nj.com/database/pd-dept/edgewater-park-burlington
"Edgewater, Bergen",/database/pd-dept/edgewater-bergen,4%,less likely,25%,less likely,1,14,14,28,This department uses force at higher rate than 328 police departments,Edgewater,Bergen County,Patrol area: Edgewater,http://force.nj.com/database/pd-dept/edgewater-bergen
"Edison, Middlesex",/database/pd-dept/edison-middlesex,161%,more likely,5%,less likely,6,91,93,172,This department uses force at higher rate than 367 police departments,Edison,Middlesex County,Patrol area: Edison,http://force.nj.com/database/pd-dept/edison-middlesex
"Egg Harbor City, Atlantic",/database/pd-dept/egg-harbor-city-atlantic,239%,more likely,154%,more likely,0,9,12,12,This department uses force at higher rate than 306 police departments,Egg Harbor City,Atlantic County,Patrol area: Egg Harbor City,http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic
"Egg Harbor Township, Atlantic",/database/pd-dept/egg-harbor-township-atlantic,390%,more likely,34%,more likely,4,57,60,84,This department uses force at higher rate than 322 police departments,Egg Harbor Township,Atlantic County,Patrol area: Egg Harbor Township,http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic
"Elizabeth, Union",/database/pd-dept/elizabeth-union,76%,more likely,71%,more likely,49,155,185,310,This department uses force at higher rate than 424 police departments,Elizabeth,Union County,Patrol area: Elizabeth,http://force.nj.com/database/pd-dept/elizabeth-union
"Elk, Gloucester",/database/pd-dept/elk-gloucester,N/A,Not found,N/A,Not found,0,1,3,12,This department uses force at lower rate than 389 police departments,Elk,Gloucester County,Patrol area: Elk,http://force.nj.com/database/pd-dept/elk-gloucester
"Elmwood Park, Bergen",/database/pd-dept/elmwood-park-bergen,341%,more likely,111%,more likely,0,21,21,38,This department uses force at lower rate than 313 police departments,Elmwood Park,Bergen County,Patrol area: Elmwood Park,http://force.nj.com/database/pd-dept/elmwood-park-bergen
"Emerson, Bergen",/database/pd-dept/emerson-bergen,N/A,Not found,N/A,Not found,0,0,0,19,This department uses force at lower rate than 419 police departments,Emerson,Bergen County,Patrol area: Emerson,http://force.nj.com/database/pd-dept/emerson-bergen
"Englewood Cliffs, Bergen",/database/pd-dept/englewood-cliffs-bergen,N/A,Not found,739%,more likely,0,9,9,26,This department uses force at higher rate than 422 police departments,Englewood Cliffs,Bergen County,Patrol area: Englewood Cliffs,http://force.nj.com/database/pd-dept/englewood-cliffs-bergen
"Englewood, Bergen",/database/pd-dept/englewood-bergen,187%,more likely,28%,more likely,0,29,30,79,This department uses force at lower rate than 316 police departments,Englewood,Bergen County,Patrol area: Englewood,http://force.nj.com/database/pd-dept/englewood-bergen
"Englishtown, Monmouth",/database/pd-dept/englishtown-monmouth,430%,more likely,27%,less likely,0,4,4,8,This department uses force at lower rate than 333 police departments,Englishtown,Monmouth County,Patrol area: Englishtown,http://force.nj.com/database/pd-dept/englishtown-monmouth
"Essex Fells, Essex",/database/pd-dept/essex-fells-essex,N/A,Not found,N/A,Not found,0,1,1,12,This department uses force at lower rate than 448 police departments,Essex Fells,Essex County,Patrol area: Essex Fells,http://force.nj.com/database/pd-dept/essex-fells-essex
